name,cuisines,aggregate_rating,rating_text,votes,average_cost_for_two,price_range,locality,city,latitude,longitude,has_online_delivery,has_table_booking,American,Andhra,Arabian,Asian,Awadhi,BBQ,Bakery,Beverages,Biryani,Burger,Burmese,Cafe,Chinese,Coffee,Continental,Desserts,European,Fast Food,Gujarati,Healthy Food,Hyderabadi,Ice Cream,Italian,Japanese,Juices,Lebanese,Mediterranean,Mexican,Modern Indian,Momos,Mughlai,North Indian,Parsi,Pizza,Rajasthani,Rolls,Salad,Sandwich,Seafood,South Indian,Street Food,Sushi,Tex-Mex,Thai,Tibetan,Vietnamese,places,cuisine_count,place_type
Sahib’s Barbeque by Ohri’s,"Hyderabadi, Awadhi, BBQ",4.9,Excellent,7647,1400,3,Hitech City,Hyderabad,17.441403376500002,78.3762160689,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,3,None
Chili's American Grill & Bar,"Mexican, American, Tex-Mex, Burger, Salad",4.9,Excellent,5313,1400,3,Banjara Hills,Hyderabad,17.4228293551,78.4494651854,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,None,5,None
Ohri's Tansen,North Indian,4.9,Excellent,3076,1500,3,Necklace Road,Hyderabad,17.431670692,78.46505753699999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,1,None
Ohri's Serengeti,North Indian,4.9,Excellent,2493,1500,3,Banjara Hills,Hyderabad,17.4084022044,78.43887951229999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,1,None
AB's - Absolute Barbecues,"European, Mediterranean, North Indian",4.9,Excellent,7164,1200,3,Gachibowli,Hyderabad,17.4429879633,78.3574000373,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,3,None
AB's - Absolute Barbecues,"European, Mediterranean, North Indian",4.9,Excellent,4138,1500,3,Banjara Hills,Hyderabad,17.4123502858,78.4494296461,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,3,None
Taaza Kitchen,South Indian,4.9,Excellent,328,100,1,Madhapur,Hyderabad,17.452451696500002,78.3914362639,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,None,1,None
Tossin Pizza,"Pizza, Italian, Fast Food, Beverages",4.9,Excellent,107,600,2,Gachibowli,Hyderabad,17.4307622,78.3735583,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,None,4,None
AB's - Absolute Barbecues,"European, Mediterranean, North Indian",4.9,Excelente,4138,1500,3,Banjara Hills,Hyderabad,17.4123502858,78.4494296461,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,3,None
AB's - Absolute Barbecues,"European, Mediterranean, North Indian",4.9,Skvělé,4138,1500,3,Banjara Hills,Hyderabad,17.4123502858,78.4494296461,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,3,None
